player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity
10747,James Hill,Bournemouth,2024,10.0,6.0,0.6,3.0,2.0,0.6666666666666666,4.0,2.0,0.5,0.16666666666666663
10749,Siriki Dembélé,Bournemouth,2022,8.0,1.0,0.125,3.0,0.0,0.0,4.0,1.0,0.25,-0.25
10750,Rasmus Kristensen,Leeds,2022,26.0,21.0,0.8076923076923077,10.0,9.0,0.9,7.0,5.0,0.7142857142857143,0.18571428571428572
10751,Brenden Aaronson,Leeds,2022,36.0,28.0,0.7777777777777778,13.0,10.0,0.7692307692307693,11.0,10.0,0.9090909090909091,-0.1398601398601398
10755,Joseph Hodge,Wolves,2022,6.0,1.0,0.16666666666666666,2.0,0.0,0.0,1.0,0.0,0.0,0.0
10756,Joe Worrall,Nott'm Forest,2022,30.0,21.0,0.7,12.0,7.0,0.5833333333333334,10.0,7.0,0.7,-0.11666666666666659
10756,Joe Worrall,Nott'm Forest,2023,7.0,5.0,0.7142857142857143,4.0,3.0,0.75,3.0,2.0,0.6666666666666666,0.08333333333333337
10757,Scott McKenna,Nott'm Forest,2022,20.0,19.0,0.95,7.0,7.0,1.0,8.0,7.0,0.875,0.125
10757,Scott McKenna,Nott'm Forest,2023,5.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0
10758,Harry Toffolo,Nott'm Forest,2022,19.0,9.0,0.47368421052631576,7.0,1.0,0.14285714285714285,5.0,3.0,0.6,-0.45714285714285713
10758,Harry Toffolo,Nott'm Forest,2023,23.0,15.0,0.6521739130434783,5.0,3.0,0.6,9.0,5.0,0.5555555555555556,0.0444444444444444
10759,Lewis O&#039;Brien,Nott'm Forest,2022,13.0,6.0,0.46153846153846156,4.0,2.0,0.5,6.0,1.0,0.16666666666666666,0.33333333333333337
10760,Brennan Johnson,Nott'm Forest,2022,38.0,33.0,0.868421052631579,13.0,8.0,0.6153846153846154,13.0,13.0,1.0,-0.3846153846153846
10760,Brennan Johnson,Nott'm Forest,2023,17.0,12.0,0.7058823529411765,6.0,4.0,0.6666666666666666,8.0,6.0,0.75,-0.08333333333333337
